Unique ID,Post,defamation,fake,hate,non-hostile,offensive
17,"होम आइसोलेशन में रहने वाले लोग थर्मामीटर तथा पल्स ऑक्सीमीटर साथ रखें। यदि किसी को खांसी या बुखार आये अथवा सांस फूले तो तत्काल हेल्पलाइन नं. 18001805145 अथवा @CMHelpline1076 पर सम्पर्क करे: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP",0,0,0,1,0
18,"पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने 10 राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी

#PranabMukherjee https://t.co/egBXvOgC1w",0,0,0,1,0
19,"IPL छोड़ेंगे @harbhajan_singh ? @ChennaiIPL अधिकारी ने दिया अपडेट

https://t.co/9zFnEXdtAk

#HarbhajanSingh #IPL2020 https://t.co/z9Dpaffw3I",0,0,0,1,0
20,"#Saharanpur चेकिंग के बहाने उगाही करने वाले गिरफ्तार, 2 शातिर बदमाशों को पुलिस ने किया गिरफ्तार, स्कूटी, 2 तमंचे, मोबाइल बरामद किया, देहात कोतवाली पुलिस ने किया गिरफ्तार। @saharanpurpol @digsaharanpur @Uppolice #policemedianews",0,0,0,1,0
21,"जापान के नोबल पुरस्कार जीतने वाले ओर 4 साल तक चीन में काम करने वाले प्रोफेसर #टासुकू_होंजो का दावा, कोरोना प्राकृतिक नही कृत्रिम वायरस है जो चीन ने बनाया है।",0,1,0,0,0
22,दिल्ली में हिंदुओं और सिक्खों की सामूहिक हत्याएं करने के लिए आतंकवादी जेहादी घी के डिब्बे में अवैध हथियार सप्लाई करते हुए धर दबोचे गए।,0,1,1,0,0
23,कुत्ते में भी एकता होती है विचारों में विरोध होती लेकिन फिर भी उसे में एकता होती है पत्रकार में नहीं आज तक न्यूज़ चैनल पर आशुतोष सर को गौरव भाटिया बोला दोनों कान पर थप्पड़ मारूंगा वहां बैठा पत्रकार रोहित सरदाना सुनती रही मुझे बहुत दुख  हुई,0,0,0,0,1
24,"प्रणब मुखर्जी ने 37 प्रार्थियों से जुड़ी 28 दया याचिकाओं को खारिज कर दिया. प्रणब से पहले राष्ट्रपति रहीं प्रतिभा पाटिल ने सबसे ज्यादा 30 लोगों को फांसी के फंदे से बचाया था. प्रणब ने सिर्फ सात की फांसी की सजा माफ की.
https://t.co/1G44U1OR4R",0,0,0,1,0
25,"लद्दाख के करीब चीन ने फिर से तैनात किए अपने J-20 लड़ाकू विमान, लगातार भर रहे हैं उड़ान-
#IndiaChinaFaceOff 

https://t.co/2VfWAZenTi",0,0,0,1,0
26,"@liHusin1 @KanganaTeam हा बे कटे लैंड की पैदाइस हलाला की ओलाद तुम्हे ये नही मालूम तेरा अबु कौन है और तेरी खाला जान चुदाईखाना को नहीं पता कि तेरा अबु मौलवी साहब है, चचा है ,भाई जान है या पड़ोस वाला अब्दुल,फारुख, रहिस चचा भी तेरे अबु जान हो सकते है।साला सुवर तेरी ...",0,0,1,0,1
27,गृह मंत्री अमित शाह को बोन कैंसर से जूझ रहे हैं,0,1,0,0,0
28,"ट्विटर पे बहुत से चूतिये मिलेंगे, जो साले हिंदुओं का विरोध करते हुए मिल जाएंगे... उनकी खुद की फेक id होती है, 
अब जैसे इसी चमन चूतिये को देखिए, पिस्टल पांडेय नाम रखे हैं और हिंदुओं के विरोध में लगे हुए है।
किसी का भाड़े का टट्टू होगा, विरोध करने के 100, 50 पा जा रहा होगा बस तभी। https://t.co/cwFuCzYP4O",0,0,1,0,0
29,"@SalmanNizami_ राहुल गांधी - Maa मैं अगले 4 साल क्या करूंगा 🙃

सोनिया गांधी - बेटा TV रिचार्ज कर दिया है बैठकर छोटा भीम देख.😂😂😂",1,0,0,0,0
30,"CCTV में रिकॉर्ड हुई चोर की चोरी, ढेर सारे सोने के सिक्के बरामद किए गए  
@capt_ivane @DelhiPolice 
#Delhi 
https://t.co/CWo9EqedoG",0,0,0,1,0
31,टीवी पर आने से पहले इतनी तैयारी करता है ये गरीब आदमी,0,1,0,0,0
32,"अब यह असंभव ही लग रहा है कि कोई ऐसा बंदा जो रिटायर हो चुका है और अब कोई क्रिकेट नहीं खेलेगा, वो CSK के लिए वापस आएगा. शायद, हो सकता है कि वह ऑक्शन में दोबारा जाएं और कोई दूसरी टीम उन्हें खरीद ले'

#CSK #SureshRaina
https://t.co/1PZ3fkb8Cj",0,0,0,1,0
33,"नई राष्ट्रीय शिक्षा नीति: तीन भाषा नीति को तमिलनाडु सरकार ने किया खारिज, कहा- दो भाषा पर ही होगा अमल

https://t.co/deEf7BQ4i3",0,0,0,1,0
34,"भारत की असंगठित अर्थव्यवस्था पर दूसरा बड़ा हमला है जीएसटी: राहुल गांधी
https://t.co/0CxyP0rMyU",0,0,0,1,0
35,योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो @myogiadityanath जी।,0,0,1,0,0
36,@Real_Deepika_: मोदी जी के मोर के साथ वाले फोटो पर राहुल गाँधी का करारा जवाब 😂🤣😂🤣 https://t.co/mb9bWDjbdP,1,0,0,0,0
37,"शांतिप्रिय द्वारा मोहम्मद पैगंबर पर आपत्तिजनक टिप्पणी के लिए बैंगलोर में उपद्रव😠

और हमारे यहाँ #हीर_खान  जो नियमित रूप से हिंदू देवी-देवताओं को गाली दे रही थी।
 
Although Prayagaj remained peaceful..!!",0,0,1,0,0
38,"जेईई: पहली पाली की परीक्षा खत्म, बाहर निकले स्टूडेंट्स ने कहा- कोरोना को लेकर डर था, लेकिन खुशी इस बात की है कि हमारा एक साल बचा https://t.co/9wHy3UhO11 #JEEMain #JEE",0,0,0,1,0
39,जब दुनिया भर के विकसित देश बेहाल हो गए। इस दौरान प्रदेश ने जिस तरह डटकर इस मुश्किल वक्त का सामना किया वह सराहनीय है। योगी जी के पिता का स्वर्गवास भी हो गया लेकिन वह प्रदेश की जनता के प्रति अपनी प्रतिबद्घता दिखाते हुए लगातार जनता की सेवा में लगे रहे,0,0,0,0,1
40,"प्रदेश अध्यक्ष @PankajSinghAAP जी की अध्यक्षता में आज भोपाल जोन के पदाधिकारियों की बैठक आयोजित हुई जिसमें 1 सितंबर से शुरू होने वाले ""ऑक्सीजन जांच अभियान"" के संबंध में प्रशिक्षण दिया गया व ऑक्सीमीटर वितरित किये गये।
@ArvindKejriwal @AapKaGopalRai https://t.co/6MmRnlg7Dh",0,0,0,1,0
41,स्‍टीफन बेगुन ने भारत अमरीका सामरिक और साझेदारी मंच की ओर से वर्चुअल माध्‍यम से आयोजित तीसरे भारत-अमरीका नेतृत्‍व शिखर सम्‍मेलन में यह बात कही।,0,0,0,1,0
42,"क्या इंसानियत मर चुकी है ? 

https://t.co/zCq7knxxjc",0,0,0,1,0
43,"बधाई हो मोदी जी
आपकी मन की बात को पूरे 100 हज़ार डिसलाइक मिल चुके हैं 😂 https://t.co/BUEX28Lfpe",0,0,0,1,0
44,@LambaAlka केजरीवाल संघ शाखा की पैदाइश है संघ शाखा जिस तरह आतंक फैलती है झूठ फैलाती है उसी से इसने बचपन से शिक्षा दीक्षा ली है इसने तो प्लाज्मा डोनेट करके कोरोना परसेंट ठीक कर रही थी यह सब भ्रष्टाचार के जरिए अधिकारी बना  है ज्ञान नहीं इसके पास,1,0,1,0,0
45,22 ग्राम गांजा की जांच सीबीआई कर रही है उसकी रिपोर्ट पूरी मीडिया कर रही है सो डेढ़ सौ ग्राम  गांजा तो बिहार के मुख्यमंत्री नीतीश कुमार के बंगला के छापा मारने पर मिल जाएगी कहां 22 ग्राम के पीछे पड़े,1,0,0,0,0
46,क्या बात बोल दी शर्मा जी। 🙏🏼 https://t.co/OSfcYiR5Vq,0,0,0,1,0
47,"सुशांत सिंह राजपूत की संदिग्ध मौत का राज खोलने के लिए दिल्ली से गई CBI की 'स्पेशल 6' टीम सुशांत के घर पर क्राइम सीन का रिक्रिएशन करेगी.
#SushantSinghRajput @pramodsharma29 

https://t.co/SIbE07nARS",0,0,0,1,0
48,"#Lucknow
सीपी सुजीत पांडेय करेंगे प्रेस कॉन्फ्रेंस, 
जरूरी मुद्दो पर होगी प्रेस कॉन्फ्रेंस, 
3 बजे पुलिस लाइन में होगी प्रेस कॉनफ्रेंस। 
@lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https://t.co/D9ZObVaNm0",0,0,0,1,0
49,"तस्वीर बाबरी हॉस्पिटल का ब्लू प्रिंट दिखाती है

",0,1,0,0,0
50,"आम्रपाली की 28 परियोजनाओं की सूची ऑनलाइन, इसके निवेशक या खरीदार अपना नाम यहां ढूंढें
https://t.co/aHcisFPei8 via @NavbharatTimes 
#Amrapali #Property https://t.co/7OsydqiXdE",0,0,0,1,0
51,"अमेरिका तक को रास्ता दिखाने वाले दिल्ली मॉडल की प्लाज़्मा थेरेपी ने दिल्ली में सैंकड़ों लोगों की जान बचाई है। इंसानियत और भाईचारे का संदेश देती परमजीत जी की ये कहानी आपको ज़रूर प्रेरित करेगी। 

#DonatePlasmaSaveLives https://t.co/FmCuQMN7Ix",0,0,0,1,0
52,"हाल ही में एक हिन्दू महिला को एक कश्मीरी मुस्लिम लड़की को सहरी खिलाने पर आरएसएस के गुंडों ने पीटा| भारत आरएसएस के कब्जे में है| उनका मीडिया, लॉ एनफोर्समेंट, जुडिशरी और राष्ट्रिय सुरक्षा पर पूरा नियंत्रण है| क्या यह देश स्थिर रहेगा यदि ऐसा ही चलता रहा तो?",0,1,0,0,0
53,"देश की एकता, अखंडता और सम्प्रभुता की रक्षा के लिए निरस्त किया गया अनुच्छेद 370 : उप राष्ट्रपति @MVenkaiahNaidu 

 विवरण : https://t.co/622CJ2Wnoj",0,0,0,1,0
54,"#JNU में हुई #तोड़फोड़ के बाद #गर्ल्स हॉस्टल में #बिखरा हुआ #सामान #धन्य हैं यहां की स्टूडेंट।
बहुत दुख हुआ इन लोगों की बुक्स देखकर सब फट गई है।",1,0,0,0,1
55,"Sudeep Birthday: इंजीनियरिंग की पढ़ाई के बाद एक्टिंग की दुनिया में आए किच्चा सुदीप, जानिए और भी कई रोचक बातें
@KicchaSudeep
https://t.co/M19d7IVo8Q",0,0,0,1,0
56,"#TaalThokKe : रिया के खिलाफ बड़े सबूत !

#SushantKaSachKya पर ट्वीट कर दें अपनी राय 
Watch LIVE - https://t.co/gfUtRWrNnZ https://t.co/CM6RAyayME",0,0,0,1,0
57,"आज एक बैंक्वेट हॉल में हमने 100 बेड का कोरोना सेंटर शुरू किया। हर बेड पर ऑक्सिजन है। अब इस तरह से पूरी दिल्ली में कई बैंक्वेट हॉल में करोना सेंटर बनाए जाएँगे।

#DelhiFightsCorona https://t.co/EUnpnPlB5q",0,0,0,1,0
58,हिंदुस्तान में 90%  जज भ्रष्ट  जस्टिस काटजू हिंदुस्तान में पूरी व्यवस्था भ्रष्ट और नष्ट हो चुकी है क्रांति की जरूरत जस्टिस काटजू  न्यायालय से न्याय की उम्मीद मूर्ख लोग करते हैं  जस्टिस काटजू भारत के संतरी से लेकर मंत्री तक भ्रष्ट जस्टिस काटजू देश में क्रांति की जरूरत,1,0,0,0,0
59,@KapilMishra_IND ये साला टिकट ब्लैकिया इतनी हिम्मत लाता कहाँ से है,0,0,0,0,1
60,"RT @ShilpiSinghINC: कंगना का सपोर्ट करने वाली मीडिया से उम्मीद है कि जब 48,000 झुग्गियों को तोड़ने के लिए JCB आएगी तब उसका भी विरोध करेगी!…",0,0,0,0,1
61,"कर्नाटक  BJP के C.M के मंच से ही जब गुरु जी ने CAA का विरोध किया तो 
   CM साहब भड़क उठे 😛😛 ऐसी बे इज्जती आपने कभी नही देखी होगी
   दलाल मीडिया के चाटूकार पत्रकारो ने एक बार भी नही चलाया
करो तो ज़रा फेमस गुरू जी को😂",0,0,0,0,1
62,"बिहार में चुनावी मुद्दा बना सुशांत सिंह राजपूत की मौत, BJP ने दिया नारा, "" न भूले हैं, ना भूलने देंगे""

@kumarprakash4u  की रिपोर्ट

https://t.co/HCp3i2VURp",0,0,0,1,0
63,बेंगलुरु में कोरोना से ठीक हो चुकी मरीज़ को दोबारा संक्रमण का संदेह https://t.co/eU5cqZqNUb,0,0,0,1,0
64,"#IndiaFightsCorona: 

📍सार्वजनिक स्थानों थूकने से #कोविड19 का संक्रमण फैलता है।

➡️सार्वजनिक स्थानों पर थूकना दण्डनीय अपराध है।

#StaySafe 

@drharshvardhan @PrakashJavdekar @UNinHindi
@airnewsalerts @DDNewslive @PIBHindi @ndmaindia
@swachhbharat

Via @MoHFW_INDIA https://t.co/3gV6NBv2H6",0,0,0,1,0
65,"इस तस्वीर में जो आलीशान सोहफे और विश्वस्तरीय इंटीरियर डिजाइन हैं यह किसी का ड्राइंग रूम नहीं है यह देश के प्रधानमंत्री के लिए खरीदा गया बोइंग- 777 वीवीआइपी एयरक्राफ्ट है ,इसकी सज धज और शानो शौकत से आप अंदाजा लगा सकते हैं अपने आप को जनता का सेवक और चौकीदार कहने वाला कितना विलासिता पूर्ण जीवन जीने का आदी हो चुका है।और यह विश्वस्तरीय सुविधाओं से लैस एयरक्राफ्ट अगस्त या सितंबर माह में भारत आ जाएगा बस फिर मोदी जी के विदेश दौरे चालू।

ऐसी तमाम आधुनिक सुविधा व्यवस्थाओं से लैस ऐसे 2 बोइंग वीवीआइपी एयरक्राफ्ट खरीदे जा रहे हैं जिनकी कीमत लगभग 8458 करोड़ रूपया है!

भारतीयों तुम जिओ फकीरी में और चौकीदार जियेगा शानोशौकत में यह सत्य है प्रधानमंत्री बनने से पहले कितना घड़ियाल की आंसू बहाया था मोदी साहब ने पूरा राष्ट्र को झूठे सपनों में भर्मित करवाया था साहब ने अब देखो हकीकत क्या था किस लिए गुमराह कर रहा था,,

10 लाख की सूट पहन खुद को फकीर बताता है जापान का खाना और पीना उपयोग करने वाले खुद को भिखारी बताता है जागो-भारत जागो।।",0,1,0,0,0
66,"IPL से पहले प्राइवेट बीच पर मजे ले रहे हैं @lionsdenkxip के खिलाड़ी

 https://t.co/WKmZJCuSpc

#KXIP #IPL2020 #IPLinUAE https://t.co/dXuLnXisgv",0,0,0,1,0
67,"छात्रा 11वीं क्लास में पढ़ती थी, प्रैक्टिकल परीक्षा देने के लिए स्कूल गई हुई थी, परीक्षा देकर स्कूल से लौट ही रही थी, तभी स्कूल के बाहर घात लगाए बैठे एक मुसलमान युवक ने जिसकी उम्र लगभग 25 से 26 साल बताई जा रही है, तेजी से तलवार लेकर आया, और छात्रा के गर्दन पर वार कर दिया।मुस्लिम युवक ने तलवार से वार कर हिंदू लडकी पूजा,पुत्री शंकर लाल कोतमा अनूपगढ मध्य प्रदेश की हत्या इसलिये कर दी क्योंकि उसने उसके तथाकथित लव जेहादी प्यार को नकार दिया था ,हम हिंदू इस देश मे कितने लाचार हैं। ऒर कितने सुरक्षित हैं इन जेहादियो के आगे । खून खोलता है मेरा ऐसे मै",0,1,0,0,0
68,"कंगना राणावत ने मुम्बई की तुलना POK से की है, क्या अब उनके खिलाफ देशद्रोही का मुकदमा दर्ज होगा ? क्या कंगना जेल जायेंगी ?

या फिर जाति और धर्म के हिसाब से उन्हें बख्श दिया जायेगा ?",1,0,0,0,0
69,"क्या चालू वित्त वर्ष की पहली तिमाही में जीडीपी के खराब आंकड़ों के लिए कोरोना आपदा जिम्मेदार है?
#GDP #CoronaPandemic #IndianEconomy",0,0,0,1,0
70,"#Moradabad 
होटल मैनेजर की आत्महत्या का मामला, 
पत्नी,साली समेत 4 लोगों पर केस दर्ज, 
जहर खाते समय बनाया था वीडियो, 
पत्नी-परिजनों को बताया मौत का जिम्मेदार, सिविल लाइन थाने में दर्ज हुआ है केस। @moradabadpolice @digmoradabad @Uppolice #uppinnews #UPPolice #policemedianews",0,0,0,1,0
71,यदि दुकान की दूरी 2 किमी तक है तो पैदल जाना होगा।,0,1,0,0,0
72,भारत सरकार खेतों में यूरिया के उपयोग पर प्रतिबंध लगाने जा रही है। खेती में अब यूरिया का उपयोग बंद करेगी सरकार,0,1,0,0,0
73,"कितना भी चीख ले महेश भट्ट 
तेरे कुकर्मो की सज़ा तेरी बेटी को मिलनी ही है

तू जितना चीखेगा - सुशांत के चाहने वालों को उतना सुकून मिलेगा , अभी ट्रेलर पे ये हाल है तो सोच फ़िल्म के रिलीज पर क्या होगा
@MaheshNBhatt

RT SSR वालों 🙏",0,1,0,0,0
74,"RT @aadhiIa: उद्धव ठाकरे की BMC सेना का POK में घुसकर धमाका

आतँकवादी संगठनों के कई बंकर तबाह किए 

संघी आतंकवादियों समेत पूरे लश्कर-ए-नोए…",0,0,1,0,0
75,इस वक्त की बड़ी ख़बरें https://t.co/DCIpXa2DdA,0,0,0,1,0
76,"@sambitswaraj हमारे पुर्खो ने 800 साल तक राज किया👇👇 

ये कहते हुए Abdul पंचेर बना ने चला गया 😆🤣😂",1,0,0,0,0
77,"कांग्रेसी चमचे - राहुल गांधी हर मुद्दे पर मोदी जी से हार क्यों जाते हैं 🤔🙃

शाम पित्रोदा - हुआ तो हुआ 😂😂",0,0,1,0,0
78,"कोरोना के बढ़ते मामले और दूसरी ओर त्यौहार, सुरक्षा को लेकर क्या है आपकी सोच? https://t.co/QXENYhLTau",0,0,0,1,0
79,"#Nonsense_Modi 
 चंद्रयान मिशन सक्सेस होने ही वाला था कि मोदी जी ने वहां जाकर डिस्टर्ब कर दिया था जिसके कारण वैज्ञानिकों के महीनों की मेहनत बेकार हो गई थी",1,0,1,0,1
80,"न भक्ति न श्रद्धा न ज्ञान !!
ईवेन्ट,मैनेजमेन्ट और अपना बखान  !!
चप्पल जूते पहन कर कौन जाता है मंदिरों में @narendramodi जी?",1,0,0,0,0
81,पब्जी गेम पर जितना जल्द हो सरकार करवाई करें यह बच्चे को जिंदगी से खिलवाड़ हो रही है पब्जी को बैन. करो आने वाली पीढ़ी को जिंदा रहने दो,0,0,1,0,0
82,"#IndianRailways ने 960 से अधिक स्टेशनों का सौरकरण किया

550 स्टेशनों, जो निष्पादन के अधीन हैं, के लिए 198 मेगावाट सोलर रूफटाप क्षमता के लिए आर्डर दिए गए: https://t.co/H7UyoXSGMK

@RailMinIndia @PiyushGoyalOffc @PiyushGoyal",0,0,0,1,0
83,@LambaAlka कश्मीर में तो नहीं है अभी वीडियो की तस्वीर से तो ऐसे ही लग रही है  थोड़ा कष्ट करके   लदाख पहुंच जाइए  जानकारी पूरी मिल जाएगी आंखों देखी हाल पता चल जाएगी गद्दारों की असली तस्वीर देखने को मिल जाएगी,0,0,1,0,0
84,"हर जान है कीमती।
#AAP के ऑक्सीमित्र कर रहे हैं सभी की ऑक्सीजन जांच।
#4September #MadhyaPradesh 
@ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https://t.co/PWWm3vvpOZ",0,0,0,1,0
85,"दिल्ली के मुख्यमंत्री @ArvindKejriwal जी के प्रति दीवानगी ऐसी की आज भारत और पाकिस्तान के विश्व कप मैच में लगे नारे,
*जीतेगा भाई जीतेगा केजरीवाल जीतेगा ...*
@ArvindKejriwal 
@SanjayAzadSln",0,1,0,0,0
86,"आईटी मंत्री रविशंकर प्रसाद ने मार्क जकरबर्ग को पत्र लिखा, कहा - फेसबुक के कर्मचारी PM मोदी के प्रति अपशब्द कहते हैं  https://t.co/lORjp2gOy3",0,0,0,1,0
87,"कोराना दौर में प्लेसमेंट ऑफ़र वापस ले रही हैं कंपनियाँ, छात्र परेशान https://t.co/qRgKcLnkpl",0,0,0,1,0
88,"RT @_Pb_swain_: पिछले 6 वर्षों ने यह सिद्ध कर दिया कि कांग्रेस कोई राजनैतिक दल नही....
एक छुपा हुआ इस्लामिक संगठन है....👍",0,0,1,0,1
89,"कँगना की दीवार गिराना लोकतंत्र पर हमला हैं...

अरे कु'७त्तो
गुजरात में गरीबो के घर के आगे
दीवार बना कर कौन सा लोकतंत्र सुरक्षित हुआ था ।।",0,0,1,0,0
90,"कफ़ील खान के मामले में हाई कोर्ट का फ़ैसला योगी सरकार के अन्यायी चेहरे को बेनक़ाब करता है ध्यान से पढ़ो योगी जी, हाई कोर्ट ने कहा “कफ़ील खान का भाषण राष्ट्रीय एकता और अखंडता की अपील करता है” और योगी जी ने कफ़ील को राष्ट्रद्रोही घोषित कर दिया “शर्मनाक” #drkafeelkhan https://t.co/nB9Jhlvm93",0,0,0,1,0
91,"बिहार के पहले एक्सप्रेस वे के निर्माण का रास्ता हुआ साफ, औरंगाबाद से जयनगर तक बनेगी फोरलेन सड़क

#Bihar #Expressway #Aurangabad 

https://t.co/Gg9hxfpCnf",0,0,0,1,0
92,"देश में #Corona संक्रमण के ग्राफ में सबसे ऊपर महाराष्ट्र, IMA ने कहा- लोगों में डर और हॉस्पिटल, दवा, टेस्टिंग व ऑक्सीजन की कमी से समस्या
https://t.co/AUNbJmwB2q",0,0,0,1,0
93,"यह एक संक्रामक बीमारी है, जो किसी को भी हो सकती है, इसलिए सावधान, सतर्क रहकर हमें अपना बचाव करना है। संक्रमण से बचाव के तरीकों को हम और मजबूती से अपनाएं: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP",0,0,0,1,0
94,"RT @_Pb_swain_: आज एक इलेक्ट्रिक की दूकान में गया और बोला ""एक राहुल दे दो"" 

उसने तुरन्त एक ट्यूबलाइट दे दिया,आजकल प्रचार होते देर नही लगती…",1,0,0,0,0
95,"इस तस्वीर ने छू लिया आनंद महिंद्रा का दिल, उन्होंने नितिन गडकरी से की खास गुजारिश
https://t.co/5hYMCFz5Pe via @NavbharatTimes 
#AnandMahindra #NitinGadkari https://t.co/nPeHIBtppR",0,0,0,1,0
96,"मैं किसानो की बात करता हूँ और बहुत सी चीज़ें कही जा सकती हैं...

ठहरिये भइआ बोलने दीजिये

",0,1,0,0,0
97,"@boxervijender नहीं भूलेंगे भाई, मैं मोदी का कट्टर समर्थक हुआ करता था, लेकिन इन दिनों साला इतना दिमाग घूम गया है कि बस मोदी के नाम से ही नफरत होने लग गई, मां कसम😠",0,0,0,0,1
98,"उन्नाव रेप कांड के दोषी भाजपा विधायक कुलदीप सिंह सेंगर को हाई कोर्ट से मिली जमानत। अब सवाल यह उठता है कि जिस जज ने जमानत दिया है, अगर पीड़िता उसी जज की बेटी होती, तो भी वह जज जमानत दे देता क्या? लानत है ऐसे जजों पर। वह जज नहीं बल्कि जज के भेष में छुपा हुआ भेड़िया है।
 @LambaAlka",1,0,1,0,1
99,@RajeshpandeyAm @amethipolice -कृपया सूचनार्थ एवं आवश्यक कार्यवाही हेतु।,0,0,0,1,0
100,"धर्म परिवर्तन करके शादी या निकाह से जुड़े मामले की जांच एसआईटी करेगी।
#UttarPradesh #Kanpur 

https://t.co/26r4SLvjrH",0,0,0,1,0
101,"उप राष्ट्रपति @MVenkaiahNaidu ने #PranabMukherjee के निधन पर गहरा दुख व्यक्त करते हुए कहा, उन्होंने उस हर पद की गरिमा और शिष्टता के साथ शोभा बढ़ाई जिस पर वह रहे।

उनकी मृत्यु के साथ भारत ने एक बेहतरीन नेता खो दिया है 

https://t.co/K5ivtqfe7M https://t.co/K6MXLfak6I",0,0,0,1,0
102,"@harish3912 @RahulEaswar यह राहुल ईश्वर कमीना कब से rightist  से leftists हो गया लगता है रवी श्रीवास्तव ओर सुमन्त रामन का असर आ गया है
@ravi4354 
@sumanthraman 
🥄🌶️🖕
@akhiles33944034
@abssba1954 
@VashishthaRadha
@ManishSharmash9 
@ayachit_kavita 
@arunjoshi006 
@Madhu24250575 
@KennyTulsiani1",0,0,0,0,1
